ID,Name,Released,Year,Score,RatingCount,Director
9048,Super Mario Bros.(1993) ,1,1993,4.1,48192,Annabel Jankel
9157,Norbit(2007) ,1,2007,4.1,67760,Brian Robbins
9266,Zombie Strippers!(2008) ,1,2008,4.1,17542,Jay Lee
9375,Mean Girls 2(2011) ,1,2011,4.1,20650,Melanie Mayron
9484,Thomas and the Magic Railroad(2000) ,1,2000,4.1,3697,Britt Allcroft
9593,V.I.P.            ,1,,4.1,4203,J.F. Lawton
9702,The Con Is On(2018) ,1,2018,4.1,4684,James Oakley
9811,The Rocky Horror Picture Show: Let's Do the Time Warp Again(2016) ,1,2016,4.2,6794,Kenny Ortega
9920,Friendsgiving(2020) ,1,2020,4.2,279,Nicol Paone
10029,Connecting...            ,1,,4.2,211,Brendan Gall
10138,Sgt. Pepper's Lonely Hearts Club Band(1978) ,1,1978,4.2,5955,Michael Schultz
10247,Bad Therapy(2020) ,1,2020,4.2,478,William Teitler
10356,Inspector Gadget(1999) ,1,1999,4.2,44938,David Kellogg
10465,Ghoulies(1984) ,1,1984,4.2,8039,Luca Bercovici
10574,The Perfect Pickup(2020) ,1,2020,4.2,88,Chad Rook
10683,The Adventures of Rocky & Bullwinkle(2000) ,1,2000,4.2,19221,Des McAnuff
10792,Movie 43(2013) ,1,2013,4.3,98649,Elizabeth Banks
10901,The Jesus Rolls(2019) ,1,2019,4.3,2664,John Turturro
11010,Spy Kids 3: Game Over(2003) ,1,2003,4.3,54228,Robert Rodriguez
11119,Fat Albert(2004) ,1,2004,4.3,11188,Joel Zwick
11228,Fright Night 2(2013) ,1,2013,4.3,6448,Eduardo Rodriguez
11337,Exit to Eden(1994) ,1,1994,4.3,6434,Garry Marshall
11446,Yoga Hosers(2016) ,1,2016,4.3,12045,Kevin Smith
11555,Thunderbirds(2004) ,1,2004,4.3,13030,Jonathan Frakes
11664,Diary of a Wimpy Kid: The Long Haul(2017) ,1,2017,4.3,6933,David Bowers
11773,Alvin and the Chipmunks: Chipwrecked(2011) ,1,2011,4.3,30953,Mike Mitchell
11882,3D Yuk po tuen: Gik lok bo gam(2011) ,1,2011,4.3,2435,Christopher Sun
11991,Corporate Animals(2019) ,1,2019,4.3,2323,Patrick Brice
12100,Zombie Tidal Wave(2019) ,1,2019,4.3,593,Anthony C. Ferrante
12209,Grease 2(1982) ,1,1982,4.4,32448,Patricia Birch
12318,Banging Lanie(2020) ,1,2020,4.4,156,Allison Powell
12427,Danger Force            ,1,,4.4,243,Christopher J. Nowak
12536,LOL(2012) ,1,2012,4.4,53484,Lisa Azuelos
12645,Deep in the Valley(2009) ,1,2009,4.4,3304,Christian Forte
12754,Behaving Badly(2014) ,1,2014,4.4,9878,Tim Garrick
12863,A Madea Family Funeral(2019) ,1,2019,4.4,3687,Tyler Perry
12972,Kangaroo Jack(2003) ,1,2003,4.4,29375,David McNally
13081,Critters 3(1991) ,1,1991,4.4,10845,Kristine Peterson
13190,Tales from the Hood 2(2018) ,1,2018,4.4,1656,Rusty Cundieff
13299,Little Man(2006) ,1,2006,4.4,49880,Keenen Ivory Wayans
13408,Zoom(2006) ,1,2006,4.4,18734,Peter Hewitt
13517,Sextuplets(2019) ,1,2019,4.4,7043,Michael Tiddes
13626,Game Shakers            ,1,,4.4,1484,Dan Schneider
13735,Tiptoes(2003) ,1,2003,4.4,4577,Matthew Bright
13844,Paul Blart: Mall Cop 2(2015) ,1,2015,4.4,33766,Andy Fickman
13953,School of Rock            ,1,,4.4,1218,Jim Armogida
14062,Myra Breckinridge(1970) ,1,1970,4.4,2798,Michael Sarne
14171,Cutting Class(1989) ,1,1989,4.4,4513,Rospo Pallenberg
14280,Bitch Slap(2009) ,1,2009,4.4,13352,Rick Jacobson
14389,Switched(2020) ,1,2020,4.4,358,John K.D. Graham
14498,Tales of Erotica(1996) ,1,1996,4.4,256,Bob Rafelson
14607,Like a Boss(2020) ,1,2020,4.5,8244,Miguel Arteta
14716,Guest House(2020) ,1,2020,4.5,512,Sam Macaroni
14825,Sex and the City 2(2010) ,1,2010,4.5,73457,Michael Patrick King
14934,Striptease(1996) ,1,1996,4.5,42326,Andrew Bergman
15043,Home Alone 3(1997) ,1,1997,4.5,103377,Raja Gosnell
15152,Lost Boys: The Tribe(2008) ,1,2008,4.5,9620,P.J. Pesce
15261,Superhero Movie(2008) ,1,2008,4.5,63098,Craig Mazin
15370,Troll(1986) ,1,1986,4.5,9134,John Carl Buechler
15479,Taxi(2004) ,1,2004,4.5,39752,Tim Story
15588,Hannah Montana: The Movie(2009) ,1,2009,4.5,39275,Peter Chelsom
15697,Alvin and the Chipmunks: The Squeakquel(2009) ,1,2009,4.5,43020,Betty Thomas
15806,Bio-Dome(1996) ,1,1996,4.5,25801,Jason Bloom
15915,Soul Plane(2004) ,1,2004,4.5,21528,Jessy Terrero
16024,The Argument(2020) ,1,2020,4.5,247,Robert Schwartzman
16133,Palm Swings(2019) ,1,2019,4.5,709,Sean Hoessli
16242,Doom Asylum(1988) ,1,1988,4.5,1184,Richard Friedman
16351,Snatched(2017) ,1,2017,4.5,32743,Jonathan Levine
16460,North(1994) ,1,1994,4.5,13107,Rob Reiner
16569,Halloween at Aunt Ethel's(2019) ,1,2019,4.5,940,Joseph Mazzaferro
16678,Just Getting Started(2017) ,1,2017,4.5,6109,Ron Shelton
16787,No: 309            ,1,,4.5,2182,Demet Özdemir
16896,Zeroville(2019) ,1,2019,4.6,1486,James Franco
17005,Boo! A Madea Halloween(2016) ,1,2016,4.6,7670,Tyler Perry
17114,Vampire in Brooklyn(1995) ,1,1995,4.6,21444,Wes Craven
17223,Casper: A Spirited Beginning(1997) ,1,1997,4.6,3566,Sean McNamara
17332,Yogi Bear(2010) ,1,2010,4.6,20264,Eric Brevig
17441,Criminal Audition(2019) ,1,2019,4.6,174,Samuel Gridley
17550,The Boys in Blue(1982) ,1,1982,4.6,453,Val Guest
17659,Slice(2018) ,1,2018,4.6,2635,Austin Vesely
17768,So Random!            ,1,,4.6,2125,Steve Marmel
